review_id,user_id,product_id,rating,review_text,helpful_votes,verified_purchase,created_at
rev_0000001,user_04567,prod_0252,4.5,My go-to recommendation for friends and family.,1,True,2022-04-13T14:06:43Z
rev_0000002,user_06906,prod_0957,4.5,"Excellent product, exactly as described. Highly recommend!",3,True,2024-09-01T11:32:33Z
rev_0000003,user_00214,prod_0343,1.0,Poor quality control. Had to return it.,1,True,2022-07-23T19:30:39Z
rev_0000004,user_02140,prod_0128,5.0,Very happy with this purchase. Great quality for the price.,2,True,2022-10-29T07:28:33Z
rev_0000005,user_00679,prod_0927,4.0,"Excellent product, exactly as described. Highly recommend!",0,True,2023-09-07T23:12:39Z
rev_0000006,user_03229,prod_0015,5.0,Impressed by the build quality. Will buy again.,6,True,2023-11-15T11:17:02Z
rev_0000007,user_07487,prod_0681,3.0,Not bad but not great either. Acceptable quality.,4,False,2022-04-21T08:28:33Z
rev_0000008,user_00376,prod_0154,3.0,Does what it says. Average quality.,1,True,2023-08-11T09:20:21Z
rev_0000009,user_09964,prod_0041,5.0,Impressed by the build quality. Will buy again.,12,False,2022-02-15T07:35:50Z
rev_0000010,user_04320,prod_0605,4.0,"Solid product, no complaints. Does the job perfectly.",18,True,2022-09-09T23:20:32Z
rev_0000011,user_02472,prod_0613,5.0,Love it! Does everything it says on the packaging.,0,True,2024-02-18T09:53:07Z
rev_0000012,user_00916,prod_0702,5.0,Love it! Does everything it says on the packaging.,1,True,2023-09-03T21:39:17Z
rev_0000013,user_07545,prod_0371,4.5,Works perfectly. Fast delivery and well packaged.,1,False,2024-03-06T14:08:56Z
rev_0000014,user_06451,prod_0376,4.0,Exceeded my expectations. 5 stars well deserved.,1,True,2022-02-26T04:48:14Z
rev_0000015,user_07225,prod_0681,4.5,"Solid product, no complaints. Does the job perfectly.",15,True,2022-12-16T02:09:31Z
rev_0000016,user_09299,prod_0183,4.5,Works perfectly. Fast delivery and well packaged.,3,True,2022-07-21T03:12:23Z
rev_0000017,user_02768,prod_0112,3.0,Fair value. Some minor issues but overall functional.,3,True,2023-02-02T06:10:19Z
rev_0000018,user_03547,prod_0716,3.5,Works fine but wish the quality was a bit better.,0,True,2024-05-11T20:38:21Z
rev_0000019,user_05253,prod_0650,3.0,Decent product for the price. Nothing extraordinary.,11,True,2024-02-05T20:05:07Z
rev_0000020,user_09735,prod_0710,3.0,Gets the job done. Nothing to write home about.,0,False,2023-01-08T23:39:15Z
