product_id,name,category,subcategory,brand,price,avg_rating,review_count,in_stock,tags,description
prod_0001,Apple Wireless Earbuds Mini,Electronics,Wearables,Apple,378.66,4.2,125,True,"['4k', 'tech', 'hd', 'voice-assistant', 'rechargeable', 'waterproof', 'portable']","The Apple Apple Wireless Earbuds Mini is a top-rated wearables product designed for everyday use. It features 4k and 4k technology for superior performance. Trusted by thousands of customers, it delivers excellent value and durability."
prod_0002,Xiaomi Webcam Max,Electronics,Wearables,Xiaomi,682.08,4.3,923,True,"['fast-charge', 'waterproof', 'electronics', 'gadget', 'portable', 'usb-c', 'bluetooth', '4k']","Introducing the Xiaomi Webcam Max by Xiaomi — a premium electronics solution built for modern lifestyles. Engineered with waterproof materials and bluetooth design, it stands out in the wearables market. Whether you're a beginner or professional, this product meets your needs."
prod_0003,Samsung Gaming Mouse SE,Electronics,Networking,Samsung,200.37,3.9,112,True,"['tech', 'rechargeable', 'bluetooth', 'hd', 'noise-cancelling', 'usb-c', 'wireless', 'voice-assistant', 'electronics']","Introducing the Samsung Gaming Mouse SE by Samsung — a premium electronics solution built for modern lifestyles. Engineered with hd materials and rechargeable design, it stands out in the networking market. Whether you're a beginner or professional, this product meets your needs."
prod_0004,Sony Mechanical Keyboard Elite,Electronics,Audio,Sony,326.12,4.8,372,True,"['4k', 'hd', 'waterproof', 'tech', 'noise-cancelling', 'gadget', 'rechargeable', 'wireless']","The Sony Sony Mechanical Keyboard Elite is a top-rated audio product designed for professional use. It features wireless and rechargeable technology for superior performance. Trusted by thousands of customers, it delivers excellent value and durability."
prod_0005,Logitech Webcam Mini,Electronics,Networking,Logitech,113.29,3.8,284,True,"['voice-assistant', '4k', 'usb-c', 'wireless', 'hd', 'smart', 'portable', 'noise-cancelling', 'tech', 'gadget']","The Logitech Webcam Mini from Logitech combines gadget functionality with sleek aesthetics. As a leading networking product in the Electronics category, it offers portable performance. Backed by a manufacturer warranty and thousands of verified purchases."
prod_0006,Sony Wireless Charger X,Electronics,Laptops,Sony,150.0,3.8,84,True,"['waterproof', 'tech', 'gadget', 'hd', 'fast-charge', 'portable']","Introducing the Sony Wireless Charger X by Sony — a premium electronics solution built for modern lifestyles. Engineered with hd materials and fast-charge design, it stands out in the laptops market. Whether you're a beginner or professional, this product meets your needs."
prod_0007,Samsung Bluetooth Speaker,Electronics,Networking,Samsung,1328.91,4.1,14,True,"['bluetooth', 'fast-charge', 'hd', 'usb-c', 'tech', 'voice-assistant', 'portable', 'gadget', 'wireless', 'electronics', 'smart', 'waterproof']","The Samsung Samsung Bluetooth Speaker is a top-rated networking product designed for travel use. It features fast-charge and smart technology for superior performance. Trusted by thousands of customers, it delivers excellent value and durability."
prod_0008,Sony Wireless Charger SE,Electronics,Networking,Sony,1378.96,3.1,75,True,"['usb-c', 'smart', 'electronics', 'tech', 'voice-assistant', 'bluetooth', 'wireless', 'fast-charge', '4k', 'noise-cancelling']","The Sony Wireless Charger SE from Sony combines electronics functionality with sleek aesthetics. As a leading networking product in the Electronics category, it offers electronics performance. Backed by a manufacturer warranty and thousands of verified purchases."
prod_0009,Sony USB-C Hub SE,Electronics,Accessories,Sony,1310.56,3.5,216,True,"['wireless', 'rechargeable', 'fast-charge', '4k', 'voice-assistant', 'bluetooth', 'portable', 'usb-c', 'hd']","The Sony Sony USB-C Hub SE is a top-rated accessories product designed for travel use. It features usb-c and rechargeable technology for superior performance. Trusted by thousands of customers, it delivers excellent value and durability."
prod_0010,Lenovo Smart Watch Pro,Electronics,Laptops,Lenovo,120.42,3.5,27,True,"['electronics', 'wireless', 'tech', 'voice-assistant', 'usb-c', 'fast-charge', 'rechargeable', 'waterproof', 'gadget', 'hd', 'smart']","Introducing the Lenovo Smart Watch Pro by Lenovo — a premium electronics solution built for modern lifestyles. Engineered with hd materials and hd design, it stands out in the laptops market. Whether you're a beginner or professional, this product meets your needs."
prod_0011,Apple Bluetooth Speaker,Electronics,Laptops,Apple,655.11,4.7,113,True,"['portable', 'smart', '4k', 'electronics', 'hd', 'tech', 'fast-charge', 'voice-assistant', 'usb-c']","The Apple Apple Bluetooth Speaker is a top-rated laptops product designed for home use. It features smart and electronics technology for superior performance. Trusted by thousands of customers, it delivers excellent value and durability."
prod_0012,JBL Smart Watch Plus,Electronics,Audio,JBL,673.05,4.0,26,True,"['waterproof', 'rechargeable', 'tech', 'electronics', 'hd', 'voice-assistant', '4k', 'fast-charge', 'portable', 'smart', 'usb-c', 'wireless']","The JBL JBL Smart Watch Plus is a top-rated audio product designed for outdoor use. It features fast-charge and electronics technology for superior performance. Trusted by thousands of customers, it delivers excellent value and durability."
prod_0013,JBL USB-C Hub Ultra,Electronics,Audio,JBL,1049.44,3.7,169,True,"['fast-charge', 'rechargeable', 'hd', '4k', 'smart', 'gadget', 'wireless', 'bluetooth', 'tech', 'electronics', 'voice-assistant']","The JBL USB-C Hub Ultra from JBL combines electronics functionality with sleek aesthetics. As a leading audio product in the Electronics category, it offers bluetooth performance. Backed by a manufacturer warranty and thousands of verified purchases."
